Plot_ID,german,timestamp,conf,int01_avgconf,int01_medconf,int01_maxconf,int01_minconf,int01_ndets10,int01_ndets20,int01_ndets30,int01_ndets40,int01_ndets50,int01_ndets60,int01_ndets70,int01_ndets80,int01_ndets90,int01_ndets99,int02_avgconf,int02_medconf,int02_maxconf,int02_minconf,int02_ndets10,int02_ndets20,int02_ndets30,int02_ndets40,int02_ndets50,int02_ndets60,int02_ndets70,int02_ndets80,int02_ndets90,int02_ndets99,int03_avgconf,int03_medconf,int03_maxconf,int03_minconf,int03_ndets10,int03_ndets20,int03_ndets30,int03_ndets40,int03_ndets50,int03_ndets60,int03_ndets70,int03_ndets80,int03_ndets90,int03_ndets99,int04_avgconf,int04_medconf,int04_maxconf,int04_minconf,int04_ndets10,int04_ndets20,int04_ndets30,int04_ndets40,int04_ndets50,int04_ndets60,int04_ndets70,int04_ndets80,int04_ndets90,int04_ndets99,int05_avgconf,int05_medconf,int05_maxconf,int05_minconf,int05_ndets10,int05_ndets20,int05_ndets30,int05_ndets40,int05_ndets50,int05_ndets60,int05_ndets70,int05_ndets80,int05_ndets90,int05_ndets99,int06_avgconf,int06_medconf,int06_maxconf,int06_minconf,int06_ndets10,int06_ndets20,int06_ndets30,int06_ndets40,int06_ndets50,int06_ndets60,int06_ndets70,int06_ndets80,int06_ndets90,int06_ndets99,int07_avgconf,int07_medconf,int07_maxconf,int07_minconf,int07_ndets10,int07_ndets20,int07_ndets30,int07_ndets40,int07_ndets50,int07_ndets60,int07_ndets70,int07_ndets80,int07_ndets90,int07_ndets99,int08_avgconf,int08_medconf,int08_maxconf,int08_minconf,int08_ndets10,int08_ndets20,int08_ndets30,int08_ndets40,int08_ndets50,int08_ndets60,int08_ndets70,int08_ndets80,int08_ndets90,int08_ndets99,int09_avgconf,int09_medconf,int09_maxconf,int09_minconf,int09_ndets10,int09_ndets20,int09_ndets30,int09_ndets40,int09_ndets50,int09_ndets60,int09_ndets70,int09_ndets80,int09_ndets90,int09_ndets99,int10_avgconf,int10_medconf,int10_maxconf,int10_minconf,int10_ndets10,int10_ndets20,int10_ndets30,int10_ndets40,int10_ndets50,int10_ndets60,int10_ndets70,int10_ndets80,int10_ndets90,int10_ndets99,int11_avgconf,int11_medconf,int11_maxconf,int11_minconf,int11_ndets10,int11_ndets20,int11_ndets30,int11_ndets40,int11_ndets50,int11_ndets60,int11_ndets70,int11_ndets80,int11_ndets90,int11_ndets99,int12_avgconf,int12_medconf,int12_maxconf,int12_minconf,int12_ndets10,int12_ndets20,int12_ndets30,int12_ndets40,int12_ndets50,int12_ndets60,int12_ndets70,int12_ndets80,int12_ndets90,int12_ndets99,detID
1016,Grauspecht,2021-04-06T09:00:00Z,0.59,0.59,0.59,0.59,0.59,1,1,1,1,1,0,0,0,0,0,0.59,0.59,0.59,0.59,1,1,1,1,1,0,0,0,0,0,0.59,0.59,0.59,0.59,1,1,1,1,1,0,0,0,0,0,0.59,0.59,0.59,0.59,1,1,1,1,1,0,0,0,0,0,0.59,0.59,0.59,0.59,1,1,1,1,1,0,0,0,0,0,0.35,0.35,0.59,0.11,2,1,1,1,1,0,0,0,0,0,0.35,0.35,0.59,0.11,2,1,1,1,1,0,0,0,0,0,0.35,0.35,0.59,0.11,2,1,1,1,1,0,0,0,0,0,0.138461538461538,0.12,0.59,0.1,39,1,1,1,1,0,0,0,0,0,0.130487804878049,0.12,0.59,0.1,82,1,1,1,1,0,0,0,0,0,0.124895104895105,0.11,0.59,0.1,143,1,1,1,1,0,0,0,0,0,0.12134693877551,0.11,0.59,0.1,245,1,1,1,1,0,0,0,0,0,1016_20210406_090000_0
1216,Grauspecht,2021-04-10T10:10:18Z,0.97,0.41,0.14,0.97,0.12,3,1,1,1,1,1,1,1,1,0,0.3,0.14,0.97,0.1,5,1,1,1,1,1,1,1,1,0,0.257142857142857,0.14,0.97,0.1,7,1,1,1,1,1,1,1,1,0,0.257142857142857,0.14,0.97,0.1,7,1,1,1,1,1,1,1,1,0,0.167916666666667,0.14,0.97,0.1,24,1,1,1,1,1,1,1,1,0,0.156176470588235,0.14,0.97,0.1,34,1,1,1,1,1,1,1,1,0,0.15,0.13,0.97,0.1,42,1,1,1,1,1,1,1,1,0,0.146415094339623,0.13,0.97,0.1,53,1,1,1,1,1,1,1,1,0,0.131401869158879,0.12,0.97,0.1,214,2,1,1,1,1,1,1,1,0,0.12962,0.12,0.97,0.1,500,9,1,1,1,1,1,1,1,0,0.130238693467337,0.12,0.97,0.1,796,17,2,1,1,1,1,1,1,0,0.129092664092664,0.12,0.97,0.1,1036,21,2,1,1,1,1,1,1,0,1216_20210410_101000_18
1216,Grauspecht,2021-04-13T17:50:00Z,0.72,0.435,0.435,0.72,0.15,2,1,1,1,1,1,1,0,0,0,0.343333333333333,0.16,0.72,0.15,3,1,1,1,1,1,1,0,0,0,0.343333333333333,0.16,0.72,0.15,3,1,1,1,1,1,1,0,0,0,0.33,0.225,0.72,0.15,4,2,1,1,1,1,1,0,0,0,0.174117647058824,0.13,0.72,0.1,17,2,1,1,1,1,1,0,0,0,0.150333333333333,0.12,0.72,0.1,30,2,1,1,1,1,1,0,0,0,0.1475,0.125,0.72,0.1,36,2,1,1,1,1,1,0,0,0,0.1426,0.12,0.72,0.1,50,3,1,1,1,1,1,0,0,0,0.128360655737705,0.12,0.72,0.1,305,8,1,1,1,1,1,0,0,0,0.12701726844584,0.12,0.72,0.1,637,14,1,1,1,1,1,0,0,0,0.128128400435256,0.12,0.72,0.1,919,21,1,1,1,1,1,0,0,0,0.128220603537981,0.12,0.72,0.1,961,23,1,1,1,1,1,0,0,0,1216_20210413_175000_0
1222,Grauspecht,2021-04-04T07:00:12Z,0.42,0.42,0.42,0.42,0.42,1,1,1,1,0,0,0,0,0,0,0.42,0.42,0.42,0.42,1,1,1,1,0,0,0,0,0,0,0.42,0.42,0.42,0.42,1,1,1,1,0,0,0,0,0,0,0.38,0.38,0.42,0.34,2,2,2,1,0,0,0,0,0,0,0.3,0.34,0.42,0.14,3,2,2,1,0,0,0,0,0,0,0.246,0.2,0.42,0.13,5,3,2,1,0,0,0,0,0,0,0.246,0.2,0.42,0.13,5,3,2,1,0,0,0,0,0,0,0.208571428571429,0.14,0.42,0.1,7,3,2,1,0,0,0,0,0,0,0.136463414634146,0.12,0.42,0.1,82,7,2,1,0,0,0,0,0,0,0.130529801324503,0.12,0.42,0.1,151,8,2,1,0,0,0,0,0,0,0.130765027322404,0.12,0.42,0.1,183,8,2,1,0,0,0,0,0,0,0.128614232209738,0.12,0.42,0.1,267,9,2,1,0,0,0,0,0,0,1222_20210404_070000_12
1251,Grauspecht,2021-04-13T06:10:21Z,0.31,0.18,0.13,0.31,0.1,3,1,1,0,0,0,0,0,0,0,0.1625,0.12,0.31,0.1,4,1,1,0,0,0,0,0,0,0,0.1625,0.12,0.31,0.1,4,1,1,0,0,0,0,0,0,0,0.188,0.13,0.31,0.1,5,2,1,0,0,0,0,0,0,0,0.144545454545455,0.13,0.31,0.1,22,3,1,0,0,0,0,0,0,0,0.141333333333333,0.13,0.31,0.1,30,3,1,0,0,0,0,0,0,0,0.13925,0.13,0.31,0.1,40,3,1,0,0,0,0,0,0,0,0.135531914893617,0.12,0.31,0.1,47,3,1,0,0,0,0,0,0,0,0.125313653136531,0.12,0.31,0.1,271,6,1,0,0,0,0,0,0,0,0.125506072874494,0.12,0.82,0.1,494,8,2,1,1,1,1,1,0,0,0.125545590433483,0.12,0.82,0.1,669,10,2,1,1,1,1,1,0,0,0.126161395856052,0.12,0.82,0.1,917,14,3,2,1,1,1,1,0,0,1251_20210413_061000_21
1305,Grauspecht,2021-04-04T06:10:09Z,0.15,0.125,0.125,0.15,0.1,2,0,0,0,0,0,0,0,0,0,0.123333333333333,0.12,0.15,0.1,3,0,0,0,0,0,0,0,0,0,0.1625,0.135,0.28,0.1,4,1,0,0,0,0,0,0,0,0,0.1625,0.135,0.28,0.1,4,1,0,0,0,0,0,0,0,0,0.13,0.11,0.28,0.1,17,1,0,0,0,0,0,0,0,0,0.128181818181818,0.11,0.28,0.1,22,1,0,0,0,0,0,0,0,0,0.124827586206897,0.11,0.28,0.1,29,1,0,0,0,0,0,0,0,0,0.123333333333333,0.11,0.28,0.1,33,1,0,0,0,0,0,0,0,0,0.118518518518519,0.11,0.28,0.1,162,2,0,0,0,0,0,0,0,0,0.120313588850174,0.12,0.28,0.1,287,4,0,0,0,0,0,0,0,0,0.12015625,0.12,0.28,0.1,320,4,0,0,0,0,0,0,0,0,0.121153846153846,0.11,0.92,0.1,442,8,2,2,1,1,1,1,1,0,1305_20210404_061000_9
1507,Grauspecht,2021-04-07T06:00:06Z,0.75,0.326666666666667,0.12,0.75,0.11,3,1,1,1,1,1,1,0,0,0,0.2775,0.125,0.75,0.11,4,1,1,1,1,1,1,0,0,0,0.2775,0.125,0.75,0.11,4,1,1,1,1,1,1,0,0,0,0.2775,0.125,0.75,0.11,4,1,1,1,1,1,1,0,0,0,0.174615384615385,0.12,0.75,0.1,13,1,1,1,1,1,1,0,0,0,0.157777777777778,0.12,0.75,0.1,18,1,1,1,1,1,1,0,0,0,0.148846153846154,0.12,0.75,0.1,26,1,1,1,1,1,1,0,0,0,0.147777777777778,0.12,0.75,0.1,27,1,1,1,1,1,1,0,0,0,0.129333333333333,0.12,0.75,0.1,60,1,1,1,1,1,1,0,0,0,0.13029702970297,0.12,0.75,0.1,101,3,2,1,1,1,1,0,0,0,0.130682926829268,0.12,0.75,0.1,205,6,3,1,1,1,1,0,0,0,0.13344,0.12,0.77,0.1,250,10,6,3,2,2,2,0,0,0,1507_20210407_060000_6
1507,Grauspecht,2021-04-09T17:00:06Z,0.46,0.55,0.55,0.64,0.46,2,2,2,2,1,1,0,0,0,0,0.55,0.55,0.64,0.46,2,2,2,2,1,1,0,0,0,0,0.55,0.55,0.64,0.46,2,2,2,2,1,1,0,0,0,0,0.55,0.55,0.64,0.46,2,2,2,2,1,1,0,0,0,0,0.275714285714286,0.22,0.64,0.1,7,4,2,2,1,1,0,0,0,0,0.237777777777778,0.12,0.64,0.1,9,4,2,2,1,1,0,0,0,0,0.212727272727273,0.11,0.64,0.1,11,4,2,2,1,1,0,0,0,0,0.188666666666667,0.11,0.64,0.1,15,4,2,2,1,1,0,0,0,0,0.1278125,0.11,0.64,0.1,128,7,2,2,1,1,0,0,0,0,0.12608040201005,0.11,0.64,0.1,199,10,3,2,1,1,0,0,0,0,0.126094276094276,0.12,0.64,0.1,297,11,3,2,1,1,0,0,0,0,0.12719512195122,0.12,0.64,0.1,410,15,5,3,1,1,0,0,0,0,1507_20210409_170000_6
1616,Grauspecht,2021-04-09T01:00:27Z,0.7,0.7,0.7,0.7,0.7,1,1,1,1,1,1,0,0,0,0,0.7,0.7,0.7,0.7,1,1,1,1,1,1,0,0,0,0,0.7,0.7,0.7,0.7,1,1,1,1,1,1,0,0,0,0,0.7,0.7,0.7,0.7,1,1,1,1,1,1,0,0,0,0,0.7,0.7,0.7,0.7,1,1,1,1,1,1,0,0,0,0,0.7,0.7,0.7,0.7,1,1,1,1,1,1,0,0,0,0,0.405,0.405,0.7,0.11,2,1,1,1,1,1,0,0,0,0,0.405,0.405,0.7,0.11,2,1,1,1,1,1,0,0,0,0,0.14,0.12,0.7,0.1,108,5,2,2,2,1,0,0,0,0,0.135688622754491,0.12,0.7,0.1,167,8,2,2,2,1,0,0,0,0,0.131386861313869,0.12,0.7,0.1,274,9,2,2,2,1,0,0,0,0,0.129823529411765,0.12,0.7,0.1,340,11,2,2,2,1,0,0,0,0,1616_20210409_010000_27
1720,Grauspecht,2021-04-08T18:50:24Z,0.99,0.99,0.99,0.99,0.99,2,2,2,2,2,2,2,2,2,2,0.703333333333333,0.99,0.99,0.13,3,2,2,2,2,2,2,2,2,2,0.703333333333333,0.99,0.99,0.13,3,2,2,2,2,2,2,2,2,2,0.703333333333333,0.99,0.99,0.13,3,2,2,2,2,2,2,2,2,2,0.404444444444444,0.12,0.99,0.1,9,3,3,3,3,3,3,3,3,3,0.3325,0.12,0.99,0.1,12,3,3,3,3,3,3,3,3,3,0.300714285714286,0.12,0.99,0.1,14,3,3,3,3,3,3,3,3,3,0.23952380952381,0.12,0.99,0.1,21,3,3,3,3,3,3,3,3,3,0.137918781725888,0.12,0.99,0.1,197,6,4,4,3,3,3,3,3,3,0.131198830409357,0.12,0.99,0.1,342,8,4,4,3,3,3,3,3,3,0.127887931034483,0.12,0.99,0.1,464,8,4,4,3,3,3,3,3,3,0.126009693053312,0.12,0.99,0.1,619,11,4,4,3,3,3,3,3,3,1720_20210408_185000_24
