german,prec,recall,threshold,model_performance,english,scientific,type,Threshold,nspec_highprec
Amsel,0.995555555555556,1,uni10,0.996666666666667,Eur. Blackbird,Turdus merula,UNI10,UNI10,1
Baumpieper,0.0266666666666667,1,uni10,0.27,Tree Pipit,Anthus trivialis,UNI10,UNI10,0
Bergfink,0.328888888888889,1,uni10,0.496666666666667,Brambling,Fringilla montifringilla,UNI10,UNI10,0
Blaumeise,0.942222222222222,1,uni10,0.956666666666667,Eur. Blue Tit,Cyanistes caeruleus,UNI10,UNI10,1
Buchfink,0.973333333333333,1,uni10,0.98,Common Chaffinch,Fringilla coelebs,UNI10,UNI10,1
Buntspecht,0.853333333333333,1,uni10,0.89,Great Sp. Woodp.,Dendrocopos major,UNI10,UNI10,0
Eichelhäher,0.657777777777778,1,uni10,0.743333333333333,Eur. Jay,Garrulus glandarius,UNI10,UNI10,0
Erlenzeisig,0.48,1,uni10,0.61,Eurasian Siskin,Spinus spinus,UNI10,UNI10,0
Feldlerche,0.04,1,uni10,0.28,Eur. Skylark,Alauda arvensis,UNI10,UNI10,0
Fichtenkreuzschnabel,0.0266666666666667,1,uni10,0.27,Red Crossbill,Loxia curvirostra,UNI10,UNI10,0
Fitis,0.0361990950226244,1,uni10,0.277149321266968,Willow Warbler,Phylloscopus trochilus,UNI10,UNI10,0
Gartenbaumläufer,0.0444444444444444,1,uni10,0.283333333333333,Short-toed Treecr.,Certhia brachydactyla,UNI10,UNI10,0
Gartenrotschwanz,0.0933333333333333,1,uni10,0.32,Com. Redstart,Phoenicurus phoenicurus,UNI10,UNI10,0
Gimpel,0.0577777777777778,1,uni10,0.293333333333333,Eur. Bullfinch,Pyrrhula pyrrhula,UNI10,UNI10,0
Graureiher,0.101941747572816,1,uni10,0.326456310679612,Gray Heron,Ardea cinerea,UNI10,UNI10,0
Grauschnäpper,0.195555555555556,1,uni10,0.396666666666667,Spotted Flyc.,Muscicapa striata,UNI10,UNI10,0
Grauspecht,0.155555555555556,1,uni10,0.366666666666667,Gray-h. Woodp.,Picus canus,UNI10,UNI10,0
Grünspecht,0.506666666666667,1,uni10,0.63,Eur. Green Woodp.,Picus viridis,UNI10,UNI10,0
Habicht,0.0444444444444444,1,uni10,0.283333333333333,Northern Goshawk,Accipiter gentilis,UNI10,UNI10,0
Halsbandschnäpper,0.0533333333333333,1,uni10,0.29,Col. Flycatcher,Ficedula albicollis,UNI10,UNI10,0
Haubenmeise,0.0222222222222222,1,uni10,0.266666666666667,Crested Tit,Lophophanes cristatus,UNI10,UNI10,0
Heckenbraunelle,0.115555555555556,1,uni10,0.336666666666667,Dunnock,Prunella modularis,UNI10,UNI10,0
Hohltaube,0.262222222222222,1,uni10,0.446666666666667,Stock Dove,Columba oenas,UNI10,UNI10,0
