german;Plot_ID;file;start;conf;validation;conf_class;detID;timestamp
Alpenbirkenzeisig;1010;1010_20210411_075000;6;0.2;;0.2;1010_20210411_075000_6;2021-04-11T07:50:06Z
Alpenbirkenzeisig;1186;1186_20210327_165000;12;0.17;;0.1;1186_20210327_165000_12;2021-03-27T16:50:12Z
Alpenbirkenzeisig;1186;1186_20210406_173000;27;0.24;;0.2;1186_20210406_173000_27;2021-04-06T17:30:27Z
Alpenbirkenzeisig;1222;1222_20210505_184000;15;0.26;;0.2;1222_20210505_184000_15;2021-05-05T18:40:15Z
Alpenbirkenzeisig;1222;1222_20210506_053000;21;0.2;0;0.2;1222_20210506_053000_21;2021-05-06T05:30:21Z
Alpenbirkenzeisig;1251;1251_20210324_182000;0;0.1;0;0.1;1251_20210324_182000_0;2021-03-24T18:20:00Z
Alpenbirkenzeisig;1251;1251_20210529_144000;9;0.17;0;0.1;1251_20210529_144000_9;2021-05-29T14:40:09Z
Alpenbirkenzeisig;1281;1281_20210401_172000;27;0.16;;0.1;1281_20210401_172000_27;2021-04-01T17:20:27Z
Alpenbirkenzeisig;1305;1305_20210404_074000;6;0.13;;0.1;1305_20210404_074000_6;2021-04-04T07:40:06Z
Alpenbirkenzeisig;1305;1305_20210410_075000;12;0.17;0;0.1;1305_20210410_075000_12;2021-04-10T07:50:12Z
Alpenbirkenzeisig;1305;1305_20210428_080000;3;0.13;;0.1;1305_20210428_080000_3;2021-04-28T08:00:03Z
Alpenbirkenzeisig;1395;1395_20210402_163000;0;0.3;0;0.3;1395_20210402_163000_0;2021-04-02T16:30:00Z
Alpenbirkenzeisig;1413;1413_20210417_193000;21;0.26;;0.2;1413_20210417_193000_21;2021-04-17T19:30:21Z
Alpenbirkenzeisig;1413;1413_20210509_102000;15;0.11;;0.1;1413_20210509_102000_15;2021-05-09T10:20:15Z
Alpenbirkenzeisig;1507;1507_20210329_073000;24;0.15;;0.1;1507_20210329_073000_24;2021-03-29T07:30:24Z
Alpenbirkenzeisig;1720;1720_20210319_094000;3;0.36;0;0.3;1720_20210319_094000_3;2021-03-19T09:40:03Z
Alpenbirkenzeisig;1720;1720_20210326_131000;3;0.13;;0.1;1720_20210326_131000_3;2021-03-26T13:10:03Z
Alpenbirkenzeisig;1720;1720_20210408_193000;9;0.25;;0.2;1720_20210408_193000_9;2021-04-08T19:30:09Z
Alpenbirkenzeisig;1776;1776_20210401_162000;21;0.22;;0.2;1776_20210401_162000_21;2021-04-01T16:20:21Z
Alpenbirkenzeisig;1790;1790_20210327_181000;24;0.2;0;0.2;1790_20210327_181000_24;2021-03-27T18:10:24Z
Alpenbirkenzeisig;372;372_20210328_091000;12;0.14;;0.1;372_20210328_091000_12;2021-03-28T09:10:12Z
Alpenbirkenzeisig;372;372_20210429_192000;24;0.11;;0.1;372_20210429_192000_24;2021-04-29T19:20:24Z
Alpenbirkenzeisig;513;513_20210325_055000;27;0.57;0;0.5;513_20210325_055000_27;2021-03-25T05:50:27Z
Alpenbirkenzeisig;513;513_20210409_050000;3;0.33;;0.3;513_20210409_050000_3;2021-04-09T05:00:03Z
Alpenbirkenzeisig;513;513_20210409_050000;3;0.33;0;0.3;513_20210409_050000_3;2021-04-09T05:00:03Z
Alpenbirkenzeisig;538;538_20210414_155000;15;0.26;;0.2;538_20210414_155000_15;2021-04-14T15:50:15Z
Alpenbirkenzeisig;538;538_20210416_075000;24;0.27;0;0.2;538_20210416_075000_24;2021-04-16T07:50:24Z
Alpenbirkenzeisig;538;538_20210501_084000;0;0.74;0;0.7;538_20210501_084000_0;2021-05-01T08:40:00Z
Alpenbirkenzeisig;538;538_20210508_183000;24;0.22;0;0.2;538_20210508_183000_24;2021-05-08T18:30:24Z
Alpenbirkenzeisig;538;538_20210508_183000;24;0.22;0;0.2;538_20210508_183000_24;2021-05-08T18:30:24Z
Alpenbirkenzeisig;538;538_20210508_183000;24;0.22;0;0.2;538_20210508_183000_24;2021-05-08T18:30:24Z
Alpenbirkenzeisig;587;587_20210320_101000;27;0.23;;0.2;587_20210320_101000_27;2021-03-20T10:10:27Z
Alpenbirkenzeisig;592;592_20210416_163000;9;0.12;;0.1;592_20210416_163000_9;2021-04-16T16:30:09Z
Alpenbirkenzeisig;592;592_20210503_114000;12;0.13;0;0.1;592_20210503_114000_12;2021-05-03T11:40:12Z
Alpenbirkenzeisig;649;649_20210315_093000;21;0.25;;0.2;649_20210315_093000_21;2021-03-15T09:30:21Z
Alpenbirkenzeisig;649;649_20210501_074000;6;0.21;0;0.2;649_20210501_074000_6;2021-05-01T07:40:06Z
Alpenbirkenzeisig;649;649_20210503_135000;9;0.11;;0.1;649_20210503_135000_9;2021-05-03T13:50:09Z
Alpenbirkenzeisig;649;649_20210503_135000;15;0.18;;0.1;649_20210503_135000_15;2021-05-03T13:50:15Z
Alpenbirkenzeisig;658;658_20210320_055000;18;0.22;;0.2;658_20210320_055000_18;2021-03-20T05:50:18Z
Alpenbirkenzeisig;658;658_20210503_065000;24;0.21;;0.2;658_20210503_065000_24;2021-05-03T06:50:24Z
Alpenbirkenzeisig;736;736_20210330_175000;6;0.14;;0.1;736_20210330_175000_6;2021-03-30T17:50:06Z
Alpenbirkenzeisig;760;760_20210320_065000;21;0.13;;0.1;760_20210320_065000_21;2021-03-20T06:50:21Z
Alpenbirkenzeisig;771;771_20210325_103000;9;0.13;;0.1;771_20210325_103000_9;2021-03-25T10:30:09Z
Alpenbirkenzeisig;E1;E1_20210318_060000;12;0.23;;0.2;E1_20210318_060000_12;2021-03-18T06:00:12Z
Alpenbirkenzeisig;E1;E1_20210413_171000;12;0.15;;0.1;E1_20210413_171000_12;2021-04-13T17:10:12Z
Alpenbirkenzeisig;E11;E11_20210521_215000;0;0.24;;0.2;E11_20210521_215000_0;2021-05-21T21:50:00Z
Alpenbirkenzeisig;E12;E12_20210319_092000;0;0.19;0;0.1;E12_20210319_092000_0;2021-03-19T09:20:00Z
Alpenbirkenzeisig;E12;E12_20210319_092000;0;0.19;0;0.1;E12_20210319_092000_0;2021-03-19T09:20:00Z
Alpenbirkenzeisig;E15;E15_20210508_063000;9;0.2;;0.2;E15_20210508_063000_9;2021-05-08T06:30:09Z
Alpenbirkenzeisig;E17;E17_20210316_104000;3;0.22;;0.2;E17_20210316_104000_3;2021-03-16T10:40:03Z
Alpenbirkenzeisig;E17;E17_20210319_060000;12;0.22;;0.2;E17_20210319_060000_12;2021-03-19T06:00:12Z
